timestamp,flow_count,attack_flows,is_active_attack,is_future_target_120s,LogReg_probability,LogReg_alert,RandomForest_probability,RandomForest_alert,XGBoost_probability,XGBoost_alert,LSTM_probability,LSTM_alert,Ensemble (XGB+LSTM)_probability,Ensemble (XGB+LSTM)_alert
02:02:30,311,219,1.0,1.0,0.1654,False,0.1401,False,0.0101,False,0.0134,False,0.0118,False
02:02:40,285,213,1.0,1.0,0.1507,False,0.1403,False,0.0123,False,0.015,False,0.0136,False
02:02:50,316,213,1.0,1.0,0.1621,False,0.1745,False,0.0026,False,0.0257,False,0.0141,False
02:03:00,320,212,1.0,1.0,0.1645,False,0.1479,False,0.0039,False,0.0142,False,0.0091,False
02:03:10,841,222,1.0,1.0,0.2144,False,0.1252,False,0.0005,False,0.008,False,0.0043,False
02:03:20,822,210,1.0,1.0,0.215,False,0.1577,False,0.0034,False,0.0195,False,0.0114,False
02:03:30,463,218,1.0,1.0,0.2649,False,0.1,False,0.002,False,0.0194,False,0.0107,False
02:03:40,630,213,1.0,1.0,0.271,False,0.1235,False,0.0095,False,0.0826,False,0.046,False
02:03:50,317,223,1.0,1.0,0.215,False,0.1621,False,0.0115,False,0.0191,False,0.0153,False
02:04:00,317,215,1.0,1.0,0.1678,False,0.1419,False,0.0055,False,0.0136,False,0.0096,False
02:04:10,296,209,1.0,1.0,0.209,False,0.1465,False,0.0072,False,0.0143,False,0.0107,False
02:04:20,290,220,1.0,1.0,0.1608,False,0.1422,False,0.0024,False,0.0156,False,0.009,False
02:04:30,284,214,1.0,1.0,0.1826,False,0.1403,False,0.0041,False,0.0164,False,0.0102,False
02:04:40,379,222,1.0,1.0,0.1771,False,0.119,False,0.0053,False,0.0145,False,0.0099,False
02:04:50,633,220,1.0,1.0,0.1894,False,0.1686,False,0.0048,False,0.0836,False,0.0442,False
02:05:00,304,211,1.0,1.0,0.1794,False,0.1738,False,0.0038,False,0.0179,False,0.0108,False
02:05:10,373,211,1.0,1.0,0.2207,False,0.139,False,0.0272,False,0.0244,False,0.0258,False
02:05:20,380,218,1.0,1.0,0.3151,False,0.1621,False,0.005,False,0.0141,False,0.0095,False
02:05:30,397,213,1.0,1.0,0.2494,False,0.1246,False,0.0059,False,0.026,False,0.0159,False
02:05:40,298,214,1.0,1.0,0.2525,False,0.1318,False,0.0099,False,0.0144,False,0.0121,False
02:05:50,316,216,1.0,1.0,0.1939,False,0.0967,False,0.0041,False,0.015,False,0.0096,False
02:06:00,410,212,1.0,1.0,0.1969,False,0.1482,False,0.0027,False,0.0222,False,0.0125,False
02:06:10,449,217,1.0,1.0,0.1905,False,0.1575,False,0.0026,False,0.1074,False,0.055,False
02:06:20,310,213,1.0,1.0,0.1703,False,0.177,False,0.0129,False,0.0156,False,0.0142,False
02:06:30,348,220,1.0,1.0,0.1496,False,0.1528,False,0.0034,False,0.0393,False,0.0213,False
02:06:40,315,215,1.0,1.0,0.1598,False,0.1581,False,0.0036,False,0.0134,False,0.0085,False
02:06:50,318,217,1.0,1.0,0.1429,False,0.1609,False,0.0226,False,0.0157,False,0.0191,False
02:07:00,302,216,1.0,1.0,0.1625,False,0.1566,False,0.0053,False,0.0147,False,0.01,False
02:07:10,352,221,1.0,1.0,0.1523,False,0.1353,False,0.0014,False,0.0122,False,0.0068,False
02:07:20,334,206,1.0,1.0,0.1945,False,0.1117,False,0.0032,False,0.0127,False,0.0079,False
02:07:30,296,212,1.0,1.0,0.1673,False,0.1037,False,0.0012,False,0.013,False,0.0071,False
02:07:40,723,220,1.0,1.0,0.1786,False,0.1816,False,0.0043,False,0.1619,False,0.0831,False
02:07:50,446,224,1.0,1.0,0.2253,False,0.1714,False,0.0028,False,0.0919,False,0.0474,False
02:08:00,595,215,1.0,,0.1938,False,0.1694,False,0.0567,False,0.0135,False,0.0351,False
02:08:10,489,212,1.0,,0.1863,False,0.1946,False,0.0058,False,0.0091,False,0.0075,False
02:08:20,440,220,1.0,,0.1396,False,0.1762,False,0.0044,False,0.0175,False,0.0109,False
02:08:30,342,227,1.0,,0.1803,False,0.1839,False,0.0264,False,0.0147,False,0.0205,False
02:08:40,507,220,1.0,,0.1794,False,0.1624,False,0.008,False,0.0404,False,0.0242,False
02:08:50,378,221,1.0,,0.1727,False,0.1709,False,0.0083,False,0.0156,False,0.012,False
02:09:00,315,215,1.0,,0.1694,False,0.1718,False,0.021,False,0.0244,False,0.0227,False
02:09:10,284,214,1.0,,0.1683,False,0.1974,False,0.0202,False,0.0142,False,0.0172,False
02:09:20,272,216,1.0,,0.1505,False,0.1337,False,0.0086,False,0.0129,False,0.0107,False
02:09:30,271,211,1.0,,0.1315,False,0.1369,False,0.0034,False,0.0127,False,0.008,False
02:09:40,444,217,1.0,,0.1596,False,0.1195,False,0.0009,False,0.0143,False,0.0076,False
02:09:50,364,208,1.0,,0.1666,False,0.1384,False,0.0027,False,0.0139,False,0.0083,False
