row,forecast_probability,detection_probability,unified_threat_score,forecast_alert,detection_alert,threat_alert,operational_state,action,lead_time_seconds,timestamp,flow_count,attack_flows,is_active_attack,is_future_target_120s
54,0.0034,0.999,0.999,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:06:30,348,220,1.0,1.0
55,0.0036,0.9995,0.9995,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:06:40,315,215,1.0,1.0
56,0.0226,0.9991,0.9991,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:06:50,318,217,1.0,1.0
57,0.0053,0.9994,0.9994,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:07:00,302,216,1.0,1.0
58,0.0014,0.9987,0.9987,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:07:10,352,221,1.0,1.0
59,0.0032,0.9992,0.9992,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:07:20,334,206,1.0,1.0
60,0.0012,0.9992,0.9992,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:07:30,296,212,1.0,1.0
61,0.0043,0.9958,0.9958,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:07:40,723,220,1.0,1.0
62,0.0028,0.996,0.996,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:07:50,446,224,1.0,1.0
63,0.0567,0.9975,0.9975,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:08:00,595,215,1.0,0.0
64,0.0058,0.9878,0.9878,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:08:10,489,212,1.0,0.0
65,0.0044,0.9972,0.9972,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:08:20,440,220,1.0,0.0
66,0.0264,0.9976,0.9976,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:08:30,342,227,1.0,0.0
67,0.008,0.998,0.998,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:08:40,507,220,1.0,0.0
68,0.0083,0.9994,0.9994,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:08:50,378,221,1.0,0.0
69,0.021,0.9993,0.9993,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:09:00,315,215,1.0,0.0
70,0.0202,0.9993,0.9993,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:09:10,284,214,1.0,0.0
71,0.0086,0.9988,0.9988,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:09:20,272,216,1.0,0.0
72,0.0034,0.9986,0.9986,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:09:30,271,211,1.0,0.0
73,0.0009,0.9875,0.9875,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:09:40,444,217,1.0,0.0
74,0.0027,0.9993,0.9993,False,True,True,ACTIVE_ATTACK_MITIGATION,APPLY_DYNAMIC_RATE_LIMITING,0.0,02:09:50,364,208,1.0,0.0
